,Year,Cause,Deaths
0,2010.0,Cardiovascular Diseases,15597099
1,2011.0,Cardiovascular Diseases,15821594
2,2012.0,Cardiovascular Diseases,16076600
3,2013.0,Cardiovascular Diseases,14210519
4,2014.0,Cardiovascular Diseases,16534262
5,2015.0,Cardiovascular Diseases,17088895
6,2016.0,Cardiovascular Diseases,16792338
7,2017.0,Cardiovascular Diseases,17231608
8,2018.0,Cardiovascular Diseases,17347475
9,2019.0,Cardiovascular Diseases,17793218
10,2010.0,Neoplasms,8225312
11,2011.0,Neoplasms,8387556
12,2012.0,Neoplasms,8550922
13,2013.0,Neoplasms,8685345
14,2014.0,Neoplasms,8790219
15,2015.0,Neoplasms,9050964
16,2016.0,Neoplasms,9034802
17,2017.0,Neoplasms,9015240
18,2018.0,Neoplasms,9434173
19,2019.0,Neoplasms,9660256
20,2010.0,Chronic Respiratory Diseases,3449662
21,2011.0,Chronic Respiratory Diseases,3517054
22,2012.0,Chronic Respiratory Diseases,3539406
23,2013.0,Chronic Respiratory Diseases,3595582
24,2014.0,Chronic Respiratory Diseases,3420066
25,2015.0,Chronic Respiratory Diseases,3690767
26,2016.0,Chronic Respiratory Diseases,3624632
27,2017.0,Chronic Respiratory Diseases,3724660
28,2018.0,Chronic Respiratory Diseases,3793474
29,2019.0,Chronic Respiratory Diseases,3846512
30,2010.0,Lower Respiratory Infections,2441518
31,2011.0,Lower Respiratory Infections,2452863
32,2012.0,Lower Respiratory Infections,2436061
33,2013.0,Lower Respiratory Infections,2510062
34,2014.0,Lower Respiratory Infections,2468858
35,2015.0,Lower Respiratory Infections,2532705
36,2016.0,Lower Respiratory Infections,2342402
37,2017.0,Lower Respiratory Infections,2286627
38,2018.0,Lower Respiratory Infections,2374697
39,2019.0,Lower Respiratory Infections,2349738
