,Year,Cause,Deaths
0,2010,CD,15597099
1,2011,CD,15821594
2,2012,CD,16076600
3,2013,CD,14210519
4,2014,CD,16534262
5,2015,CD,17088895
6,2016,CD,16792338
7,2017,CD,17231608
8,2018,CD,17347475
9,2019,CD,17793218
10,2010,N,8225312
11,2011,N,8387556
12,2012,N,8550922
13,2013,N,8685345
14,2014,N,8790219
15,2015,N,9050964
16,2016,N,9034802
17,2017,N,9015240
18,2018,N,9434173
19,2019,N,9660256
20,2010,CRD,3449662
21,2011,CRD,3517054
22,2012,CRD,3539406
23,2013,CRD,3595582
24,2014,CRD,3420066
25,2015,CRD,3690767
26,2016,CRD,3624632
27,2017,CRD,3724660
28,2018,CRD,3793474
29,2019,CRD,3846512
30,2010,LRI,2441518
31,2011,LRI,2452863
32,2012,LRI,2436061
33,2013,LRI,2510062
34,2014,LRI,2468858
35,2015,LRI,2532705
36,2016,LRI,2342402
37,2017,LRI,2286627
38,2018,LRI,2374697
39,2019,LRI,2349738
